StoreNumber,dayOfTheYear,3HourBucket,GrossSoldQuantity,Cash/Credit Site,EBT Site,Loyalty Site,ExtraMile Site,CoBrand,Alcohol,Carwash,Food Service,City,State
1000,364,1,0,FALSE,TRUE,TRUE,TRUE,No,TRUE,FALSE,TRUE,HOUSTON,TX
1000,364,2,3,FALSE,TRUE,TRUE,TRUE,No,TRUE,FALSE,TRUE,HOUSTON,TX
1000,364,3,4,FALSE,TRUE,TRUE,TRUE,No,TRUE,FALSE,TRUE,HOUSTON,TX
1000,364,4,1,FALSE,TRUE,TRUE,TRUE,No,TRUE,FALSE,TRUE,HOUSTON,TX
1000,365,1,9,FALSE,TRUE,TRUE,TRUE,No,TRUE,FALSE,TRUE,HOUSTON,TX
1000,365,2,9,FALSE,TRUE,TRUE,TRUE,No,TRUE,FALSE,TRUE,HOUSTON,TX
1000,365,3,3,FALSE,TRUE,TRUE,TRUE,No,TRUE,FALSE,TRUE,HOUSTON,TX
1000,365,4,6,FALSE,TRUE,TRUE,TRUE,No,TRUE,FALSE,TRUE,HOUSTON,TX
2000,364,1,1,FALSE,FALSE,TRUE,TRUE,No,FALSE,FALSE,TRUE,AUSTIN,TX
2000,364,2,2,FALSE,FALSE,TRUE,TRUE,No,FALSE,FALSE,TRUE,AUSTIN,TX
2000,364,3,1,FALSE,FALSE,TRUE,TRUE,No,FALSE,FALSE,TRUE,AUSTIN,TX
2000,364,4,2,FALSE,FALSE,TRUE,TRUE,No,FALSE,FALSE,TRUE,AUSTIN,TX
2000,365,1,1,FALSE,FALSE,TRUE,TRUE,No,FALSE,FALSE,TRUE,AUSTIN,TX
2000,365,2,1,FALSE,FALSE,TRUE,TRUE,No,FALSE,FALSE,TRUE,AUSTIN,TX
2000,365,3,7,FALSE,FALSE,TRUE,TRUE,No,FALSE,FALSE,TRUE,AUSTIN,TX
2000,365,4,3,FALSE,FALSE,TRUE,TRUE,No,FALSE,FALSE,TRUE,AUSTIN,TX
3000,364,1,0,FALSE,TRUE,TRUE,TRUE,No,TRUE,TRUE,TRUE,COLLEGE STATION,TX
3000,364,2,1,FALSE,TRUE,TRUE,TRUE,No,TRUE,TRUE,TRUE,COLLEGE STATION,TX
3000,364,3,1,FALSE,TRUE,TRUE,TRUE,No,TRUE,TRUE,TRUE,COLLEGE STATION,TX
3000,364,4,2,FALSE,TRUE,TRUE,TRUE,No,TRUE,TRUE,TRUE,COLLEGE STATION,TX
3000,365,1,1,FALSE,TRUE,TRUE,TRUE,No,TRUE,TRUE,TRUE,COLLEGE STATION,TX
3000,365,2,2,FALSE,TRUE,TRUE,TRUE,No,TRUE,TRUE,TRUE,COLLEGE STATION,TX
3000,365,3,4,FALSE,TRUE,TRUE,TRUE,No,TRUE,TRUE,TRUE,COLLEGE STATION,TX
3000,365,4,7,FALSE,TRUE,TRUE,TRUE,No,TRUE,TRUE,TRUE,COLLEGE STATION,TX
4000,364,1,6,FALSE,FALSE,TRUE,TRUE,No,FALSE,TRUE,TRUE,SAN ANTONiO,TX
4000,364,2,11,FALSE,FALSE,TRUE,TRUE,No,FALSE,TRUE,TRUE,SAN ANTONiO,TX
4000,364,3,30,FALSE,FALSE,TRUE,TRUE,No,FALSE,TRUE,TRUE,SAN ANTONiO,TX
4000,364,4,24,FALSE,FALSE,TRUE,TRUE,No,FALSE,TRUE,TRUE,SAN ANTONiO,TX
4000,365,1,12,FALSE,FALSE,TRUE,TRUE,No,FALSE,TRUE,TRUE,SAN ANTONiO,TX
4000,365,2,16,FALSE,FALSE,TRUE,TRUE,No,FALSE,TRUE,TRUE,SAN ANTONiO,TX
4000,365,3,18,FALSE,FALSE,TRUE,TRUE,No,FALSE,TRUE,TRUE,SAN ANTONiO,TX
4000,365,4,37,FALSE,FALSE,TRUE,TRUE,No,FALSE,TRUE,TRUE,SAN ANTONiO,TX
