segment_id,wellbore_chev_no_id,area_id,formation_id,bit_model_id,drillbit_size,min_depth,max_depth,surface_weight_on_bit,surface_rpm
wellbore_chev_no_14_665,wellbore_chev_no_14,area_1,formation_220,bit_model_10,18.125,19950,19950,21.66057014,60.65573883
wellbore_chev_no_14_681,wellbore_chev_no_14,area_1,formation_215,bit_model_10,18.125,20452,20459.5,27.76823306,160.7377081
wellbore_chev_no_14_682,wellbore_chev_no_14,area_1,formation_215,bit_model_10,18.125,20460,20489.5,28.6678441,159.1857931
wellbore_chev_no_14_683,wellbore_chev_no_14,area_1,formation_213,bit_model_10,18.125,20490,20519.5,24.37971992,160.0273211
wellbore_chev_no_14_684,wellbore_chev_no_14,area_1,formation_213,bit_model_10,18.125,20520,20549.5,23.55125578,151.7267817
wellbore_chev_no_14_685,wellbore_chev_no_14,area_1,formation_213,bit_model_10,18.125,20550,20579.5,25.71938906,139.9235158
wellbore_chev_no_14_686,wellbore_chev_no_14,area_1,formation_213,bit_model_10,18.125,20580,20609.5,27.69367661,139.3661373
wellbore_chev_no_14_687,wellbore_chev_no_14,area_1,formation_213,bit_model_10,18.125,20610,20639.5,21.56324871,139.1393625
wellbore_chev_no_14_688,wellbore_chev_no_14,area_1,formation_213,bit_model_10,18.125,20640,20669.5,22.18666978,139.3360841
wellbore_chev_no_14_689,wellbore_chev_no_14,area_1,formation_213,bit_model_10,18.125,20670,20699.5,22.40121136,140.8470072
wellbore_chev_no_14_690,wellbore_chev_no_14,area_1,formation_213,bit_model_10,18.125,20700,20729.5,22.22512431,151.5300354
wellbore_chev_no_14_691,wellbore_chev_no_14,area_1,formation_213,bit_model_10,18.125,20730,20759.5,23.59692938,157.586996
wellbore_chev_no_14_692,wellbore_chev_no_14,area_1,formation_213,bit_model_10,18.125,20760,20789.5,22.09629164,160.7322347
wellbore_chev_no_14_693,wellbore_chev_no_14,area_1,formation_213,bit_model_10,18.125,20790,20819.5,25.46529484,160.1284106
wellbore_chev_no_14_694,wellbore_chev_no_14,area_1,formation_213,bit_model_10,18.125,20820,20849.5,24.17866198,160.26776
wellbore_chev_no_14_695,wellbore_chev_no_14,area_1,formation_213,bit_model_10,18.125,20850,20879.5,22.83424177,159.9604303
wellbore_chev_no_14_696,wellbore_chev_no_14,area_1,formation_201,bit_model_10,18.125,20880,20909.5,30.2941594,160.1748581
wellbore_chev_no_14_697,wellbore_chev_no_14,area_1,formation_201,bit_model_10,18.125,20910,20939.5,27.46811924,158.303273
wellbore_chev_no_14_698,wellbore_chev_no_14,area_1,formation_201,bit_model_10,18.125,20940,20969.5,24.59129117,159.5081927
wellbore_chev_no_14_699,wellbore_chev_no_14,area_1,formation_201,bit_model_10,18.125,20970,20999.5,19.67993264,157.8469945
wellbore_chev_no_14_700,wellbore_chev_no_14,area_1,formation_133,bit_model_10,18.125,21000,21029.5,31.73167559,145.1530182
wellbore_chev_no_14_701,wellbore_chev_no_14,area_1,formation_159,bit_model_10,18.125,21030,21059.5,30.26942918,153.4453545
