node1,node2
17807,18427
2257,18427
2632,18427
3181,18427
3897,18427
4783,18427
4809,18427
4831,18427
5742,18427
5934,18427
6708,18427
18427,22322
8289,18427
8358,18427
8762,18427
10101,18427
18427,19189
11475,18427
12040,18427
6821,18427
12726,18427
14266,18427
14764,18427
15356,18427
15921,18427
16687,18427
16733,18427
17963,18427
18165,18427
18229,18427
18427,19382
18427,19550
18427,20150
1,21708
1,22208
1,22171
1,6829
1,16590
1,20135
1,8894
1,15785
1,10281
1,22265
1,7136
1,22405
1,13737
1,8533
1,2812
1,5755
1,16260
1,15026
1,17370
1,17460
1,8049
1,5307
1,4987
1,12305
1,19743
1,20024
1,21729
1,11557
1,5228
1,9934
123,21708
343,21708
356,21708
375,21708
426,21708
9968,21708
622,21708
701,21708
5241,21708
5354,21708
1041,21708
1557,21708
1823,21708
1946,21708
2387,21708
2596,21708
2676,21708
3097,21708
3520,21708
3707,21708
20135,21708
5228,21708
3735,21708
3764,21708
3809,21708
3845,21708
4147,21708
4786,21708
4804,21708
5307,21708
5318,21708
5348,21708
5655,21708
8049,21708
6470,21708
6490,21708
21708,22405
6829,21708
6843,21708
7009,21708
7066,21708
7136,21708
7208,21708
7210,21708
18957,21708
7828,21708
7871,21708
7893,21708
7961,21708
8381,21708
8454,21708
8502,21708
8533,21708
16951,21708
8770,21708
8883,21708
8894,21708
9053,21708
20246,21708
9367,21708
14098,21708
9934,21708
10066,21708
17646,21708
10593,21708
10614,21708
10617,21708
10685,21708
10912,21708
10926,21708
10967,21708
11043,21708
11062,21708
11145,21708
11229,21708
11411,21708
11553,21708
3880,21708
11870,21708
12150,21708
12249,21708
12485,21708
12500,21708
12527,21708
12548,21708
8519,21708
12643,21708
13737,21708
13940,21708
14031,21708
14181,21708
14245,21708
14280,21708
14344,21708
14371,21708
14562,21708
14640,21708
14643,21708
14677,21708
14895,21708
14928,21708
10426,21708
15448,21708
15468,21708
15481,21708
11657,21708
15745,21708
15785,21708
16059,21708
8243,21708
16520,21708
16567,21708
16590,21708
10241,21708
16770,21708
16800,21708
16862,21708
17145,21708
17215,21708
17296,21708
